idx,account_name,company_name,account_num,pay_ttl,recent,recency_num
94,ydhb,北京亚都环保科技有限公司,5,46080.0,446,1
95,aihua,深圳爱华国际教育科技有限公司,1,45780.0,622,1
96,dx-skshu,福建三棵树建筑材料有限公司,1,45444.3,343,1
97,yxb2c,易鑫集团线下销售项目,1,45000.0,343,1
98,yxjqrjf1,易鑫灵伴机器人计费账户,1,45000.0,343,1
99,lagou.com,北京拉勾网络技术有限公司,3,44400.0,452,1
100,ruier,瑞尔齿科——北京瑞尔圣彬医疗科技有限公司,2,43800.0,553,1
101,rcyy,柔持英语,2,42000.0,353,1
102,chenggeng,上海诚耘教育科技有限公司,3,41040.0,342,1
103,skjzx,蛇口集装箱码头有限公司,3,40940.0,637,1
104,shwzfw,微知（上海）服务外包有限公司,1,40000.0,587,1
105,DaDaABC,上海卓赞（私云）,1,40000.0,342,1
106,jdetyy,北京京都儿童医院,1,40000.0,438,1
107,huole,深圳市火乐科技发展有限公司,2,40000.0,448,1
108,sdqbgy,佛山市顺德区碧桂园物业发展有限公司,1,40000.0,545,1
109,dadacw,上海卓赞财务账户,1,40000.0,342,1
110,zdwl,终点物流,1,39999.6,466,1
111,taihao,北京芳菊商贸有限公司（上海态灏）,1,39600.0,368,1
112,edsqb,浙江楚橡信息科技有限公司,1,38574.42,543,1
113,lajjk,广州劳安健健康咨询有限公司,1,38304.0,388,1
114,luopan1,上海罗盘信息科技有限公司,1,38304.0,683,1
115,360jreq,360金融二期开发,1,38000.0,552,1
116,qybj,青云QingCloud 北京优帆科技有限公司,1,37500.0,676,1
117,sstkj,深圳市三十天科技有限公司-福建警务,1,37000.0,342,1
118,hxkg,北京地球港卓越商业管理有限公司,1,36000.0,371,1
119,sdswl,搜斗士网络科技（北京）有限公司,1,36000.0,589,1
120,hnztck,湖南砖头创客文化传媒有限公司,1,36000.0,367,1
121,yize,上海伊泽市场咨询有限公司（健康通（北京）网络科技有限公司）,2,36000.0,361,1
122,xyds,江苏携银电子商务有限公司,1,36000.0,357,1
123,scbdc,西安三彩不动产管理有限公司,1,35640.0,559,1
124,gzjw,广州九尾信息科技有限公司,1,35640.0,343,1
125,zjtxtz,浙江天星投资管理有限公司,1,35200.0,403,1
126,bmkp,武汉斑马快跑科技有限公司,2,34200.0,343,1
127,njmg,南京魔格信息科技有限公司,1,33600.0,419,1
128,zsfc,掌上辅材（北京）科技有限公司,1,33600.0,370,1
129,yjyp,广东易教优培教育科技有限公司,2,33600.0,346,1
130,hqmy,环球漫游,1,33600.0,469,1
131,cdrbz,成都锐宝喆科技有限公司,2,33600.0,560,1
132,wlhlw,广州网律互联网科技有限公司,1,33120.0,389,1
133,ssso,嗖酷科技(杭州)有限公司,1,33000.0,633,1
134,tldxny,青岛特来电新能源有限公司,2,32700.0,619,1
135,shjxwl,上海进馨网络科技有限公司,1,31680.0,356,1
136,shyjt,上海易积通电子商务有限公司,1,31680.0,628,1
137,zxab,北京众信安邦教育科技有限公司,6,30070.149999999998,371,1
138,mengqi,梦启（北京）科技有限公司,2,30000.0,455,1
139,yxjqrjf,易鑫灵伴机器人计费账户,1,30000.0,354,1
140,gzzs,广州知商互联网科技有限公司,1,30000.0,619,1
141,mfcx,北京蜜蜂出行科技有限公司,1,30000.0,349,1
142,360jr,360金融线路账户（上海淇毓信息科技有限公司）,1,30000.0,342,1
143,shmk,上海妙克信息科技有限公司,1,30000.0,551,1
144,dadatest,上海卓赞（哒哒私云小陌机器人）,1,30000.0,395,1
145,gsxl,山东高速信联支付有限公司,1,30000.0,403,1
146,12348,12348正式项目,1,30000.0,360,1
147,cfzxdj,财富中心,3,30000.0,589,1
148,kuaima-cfgzsj,安徽省快马印务有限责任公司--尘锋工作手机开户,3,29988.0,357,1
149,jygyl,上海九曳供应链管理有限公司,1,29700.0,508,1
150,xzsbw,工作手机-徐州赛百味食品有限公司,2,29680.0,574,1
151,bazh,广州博鳌纵横网络科技有限公司,1,29520.0,372,1
152,szlv,西藏松赞绿谷文化旅游有限公司,2,28800.0,454,1
153,zgxkj,深圳市中港星科技企业服务中心有限公司,1,28800.0,345,1
154,yinda,深圳盈达信息科技有限公司（华唐）,1,28774.47,355,1
155,xzshyy,西藏三禾语音科技服务有限公司,1,28728.0,364,1
156,adsw,安迪生物科技(上海)有限公司,3,28728.0,352,1
157,jdyzj,金蝶云之家,1,28560.0,342,1
